Geneid	CG-in_S31	CG-out_S32	Nav-in_S36	Nav-out_S1	QB-in_S33	QB-out_S34
ENSG00000225167	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000285041	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000285407	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000285473	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000223883	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000235446	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000229639	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000033122	0.09985360247309874	0.09287448561810005	0.09672188837544562	0.040907394895094575	0.0	0.04932375101937087
ENSG00000270615	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000240692	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000229359	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000237919	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000066557	22.828527827535687	7.313575912199801	23.832420860310652	9.76790293000607	19.297257539535885	12.52932732204962
ENSG00000244389	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000116754	84.78224912864377	83.19282744921233	89.90067223019038	93.30530188290557	88.94264500575353	62.17894209290855
ENSG00000228988	1.6007166120742258	0.0	0.0	0.0	0.0	0.0
ENSG00000118454	28.01933374153518	21.322607476801075	33.00045584484051	20.087872274309152	25.363338033504	24.849896145780168
ENSG00000197568	5.986313352847146	7.795072621059585	9.857559265183918	15.205097913331175	10.715950850875418	10.645211783015382
ENSG00000226088	0.0	0.0	2.464641927786138	0.0	0.0	0.0
ENSG00000116761	6.969814544122696	19.166154412343687	7.338282458973845	13.656020401889359	4.8821055284974255	12.274380943400455
ENSG00000278636	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000271992	0.0	5.840330314490995	0.0	1.2862127682466216	1.4050313240096308	6.203361372839673
ENSG00000233020	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000237033	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000229051	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000226208	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000050628	0.07578239839613812	0.0	0.0	0.0	0.0	0.0
ENSG00000235782	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000269933	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000235079	0.0	0.0	0.0	1.2396590486099808	0.6770885180853031	0.7473542915572099
ENSG00000132485	52.1577782999359	51.78278049719935	62.30094518540113	59.54137280221332	67.92663754056414	42.409100496934876
ENSG00000207721	8.506133624626992	15.823220503213976	49.43613169105916	48.78634941884279	30.453237069232006	50.42034418156898
ENSG00000229956	0.0	0.0	0.09522706010462499	0.0	0.0	0.0
ENSG00000226324	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000172260	0.0	0.0	0.15856733274023152	0.0	0.0	0.0
ENSG00000231985	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000271618	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000228853	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000233994	0.0	0.0	2.33087024420564	0.0	2.153765121672658	1.188637499894444
ENSG00000227207	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000212366	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000225087	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000227016	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000280317	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000229636	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000251825	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000233973	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000223479	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000200601	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000252005	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000162620	0.41758619232670463	0.07767992711932879	0.40448941331117394	0.34214816189229685	0.0	0.24752537958756318
ENSG00000254685	15.40057877300887	10.092034895112072	13.052873367551586	11.75807710532055	16.916846046592514	15.560345453163631
ENSG00000259030	0.07817134983093837	0.2908307252140205	0.0	0.8326434013718779	0.13993259179065784	0.07722714254496922
ENSG00000116783	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000237324	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000233894	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000162621	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000178965	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000234497	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000272864	3.884216770183653	1.2042451002446035	0.0	1.0608409734565056	0.0	1.279100176877561
ENSG00000116791	58.19986164218468	57.46327445904023	78.05705003851446	73.80310904564789	55.93778809032615	56.61231627404236
ENSG00000162623	20.126514611823225	7.0752008489241005	24.560989748302067	10.128089623099697	17.730302128154467	10.019987520773961
ENSG00000229943	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000261213	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000224127	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000162624	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000224149	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000206999	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000137968	1.9742764501039312	1.512236663428292	0.11249159457668113	0.47577008255510844	1.039442128891075	1.2620428003324402
ENSG00000224493	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000252338	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000213579	0.0	1.4888369401273542	0.0	0.0	1.4327015251389235	0.0
ENSG00000230863	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000178193	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000117054	43.12999219411536	34.56760004977688	38.5180815601116	33.83468335789043	48.04836996507616	40.040408526655405
ENSG00000181227	0.54027141190393	0.502509956896751	0.0	0.8853399556911752	0.9671264357289335	1.0674912849864429
ENSG00000137955	67.67216945200455	53.73686638339926	68.54563927353801	41.15445812636358	63.891025276908096	31.044083609622657
ENSG00000206620	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000207241	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000201487	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000057468	0.22398269801528514	0.0	0.0	0.0	0.0	0.22127728105812064
ENSG00000154007	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000225605	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000230027	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000184005	0.5054079671949159	0.09401664800859484	1.077025023714752	0.0	1.357077373887981	0.2995819814574362
ENSG00000223905	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000272855	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000226415	10.729069878529511	6.350385828623209	11.337352867816232	9.59000240004681	11.348906347800458	8.672299199229863
ENSG00000199921	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000237552	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000117069	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000276081	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000230498	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000142892	21.36330966199625	10.860704949058894	28.533606210946896	9.349947923136515	19.002201254880845	14.15757170198962
ENSG00000226084	6.590337763224515	12.259432101589203	14.0440181921147	14.039417927996457	5.898599972869261	7.8128821614683455
ENSG00000228187	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000154027	0.0	0.09833769065445887	0.9217027009895407	0.0	0.2838898382664351	0.10445029627631477
ENSG00000233099	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000251767	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000036549	14.779973744744858	11.178838286240424	21.238657820204146	16.03568063395927	19.11610002308752	13.87940128651168
ENSG00000251785	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000243437	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000077254	37.75011774259871	33.14459212374584	45.57966560221725	40.720774862875835	46.47001982095224	39.48791916388272
ENSG00000232672	0.0	0.0	0.0	0.0	0.0	0.722691599935822
ENSG00000180488	9.895267216168563	9.673912061206648	10.49443948812966	12.901242367756497	12.282925891371715	13.98573791344995
ENSG00000222849	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000219201	0.7942752353071892	0.7387605663824114	0.7693643368496358	0.6507873507089312	2.132718556965759	0.0
ENSG00000235613	0.0	0.0	0.0	0.0	0.3867363242696326	0.0
ENSG00000232015	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000235927	0.0	0.2968579762819376	0.0	0.26150748254926953	0.2856651819321501	0.31531047117618766
ENSG00000162614	2.8034191522102487	1.0736675769764217	10.223041359617884	1.4862774233616283	8.117888375646269	1.9549817852186346
ENSG00000162613	66.74897868305071	57.40036608243205	82.66402935962903	45.4873481294137	67.36959054788008	42.856402678862715
ENSG00000162616	12.182456245897184	16.007260075548476	12.36229991534284	15.21015448064522	11.249907164750653	16.429150831213505
ENSG00000137960	33.14244865573266	32.88107437063544	38.880300232568885	34.24569822568944	30.322931247390336	37.28964963172502
ENSG00000273338	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000213561	0.954996725480315	0.0	2.7751353299158534	0.0	0.8547579595149976	0.9434616187151723
ENSG00000251958	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000213560	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000202263	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000233333	0.0	0.0	0.0	0.0	0.0	0.9546784675506235
ENSG00000237413	0.0	0.0	0.28560441525131586	0.0	0.0	0.0
ENSG00000122420	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000227556	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000212308	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000137959	0.0	2.2591355835643387	0.06919771037485493	0.46826183593978565	0.06393990204965704	1.5526577342371175
ENSG00000137965	2.871550507234235	29.713181975367952	10.778273396169752	20.881077355352172	8.674241471388212	20.567278113973348
ENSG00000238015	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000235400	0.0	0.0	0.0	0.37767810334147806	0.0	0.4553822305833787
ENSG00000162618	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000230787	0.0	0.612419875461927	0.0	0.0	0.0	0.6504874886911088
ENSG00000282898	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000235011	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000285462	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000232676	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000285409	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000235756	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000260322	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000277670	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000236407	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000225598	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000213559	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000227062	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000234108	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000224326	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000234184	0.0	0.0	0.0	0.0	0.0	0.0
